utterance,assigned_label,predicted_label,predicted_confidence,cluster_label,cluster_confidence,confidence_difference
How do I locate my card?,card_arrival,card_arrival,0.4664788544178009,lost_or_stolen_card,0.4064348963927355,0.060043958
"I still have not received my new card, I ordered over a week ago.",card_arrival,card_arrival,0.9774666428565979,card_delivery_estimate,0.905957683,0.07150896
I ordered a card but it has not arrived. Help please!,card_arrival,card_arrival,0.9252893924713135,card_delivery_estimate,0.7602247146924608,0.1650646777788527
Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate,0.9448494911193848,card_delivery_estimate,0.9672971613517736,-0.02244767
My card has not arrived yet.,card_arrival,card_arrival,0.9808834195137024,card_delivery_estimate,0.9428841173402162,0.037999302
When will I get my card?,card_arrival,card_delivery_estimate,0.9672086238861084,card_delivery_estimate,0.9769908454162689,-0.009782222
Do you know if there is a tracking number for the new card you sent me?,card_arrival,card_arrival,0.9807825684547424,card_delivery_estimate,0.9019931349602296,0.078789433
i have not received my card,card_arrival,card_arrival,0.9722999334335327,card_delivery_estimate,0.9078044578939383,0.064495476
still waiting on that card,card_arrival,card_arrival,0.9638828635215759,card_delivery_estimate,0.7204549762897248,0.24342788723185116
Is it normal to have to wait over a week for my new card?,card_arrival,card_arrival,0.9751346111297607,card_delivery_estimate,0.952948496,0.022186115
How do I track my card?,card_arrival,card_arrival,0.9794066548347473,card_delivery_estimate,0.912856596,0.066550058
How long does a card delivery take?,card_arrival,card_delivery_estimate,0.9673513770103455,card_delivery_estimate,0.9465077386572185,0.020843638
I still don't have my card after 2 weeks.  What should I do?,card_arrival,card_arrival,0.9793385863304138,card_delivery_estimate,0.8977026396894833,0.081635947
still waiting on my new card,card_arrival,card_arrival,0.9778448343276978,card_delivery_estimate,0.9098685368682639,0.067976297
I am still waiting for my card after 1 week.  Is this ok?,card_arrival,card_arrival,0.9787138104438782,card_delivery_estimate,0.9226363196453774,0.056077491
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival,card_arrival,0.9587092399597168,card_delivery_estimate,0.7993094130344268,0.15939982692528998
I've been waiting longer than expected for my card.,card_arrival,card_arrival,0.9762566089630127,card_delivery_estimate,0.9484561003692682,0.027800509
Why hasn't my card been delivered?,card_arrival,card_arrival,0.9775746464729309,card_delivery_estimate,0.9368392853765724,0.040735361
Where is my new card? I have been waiting a week!,card_arrival,card_arrival,0.976538897,card_delivery_estimate,0.8524281930095446,0.1241107035511243
My card still hasn't arrived after 2 weeks. Is it lost?,card_arrival,card_arrival,0.9776188135147095,card_delivery_estimate,0.84382283,0.13379598365305445
"I did not get my card yet, is it lost?",card_arrival,card_arrival,0.947078526,card_delivery_estimate,0.7252870579081834,0.22179146811186667
Status of the card I ordered.,card_arrival,lost_or_stolen_card,0.3743742108345032,order_physical_card,0.3375751270308679,0.036799084
How long should my new card take to arrive?,card_arrival,card_arrival,0.9602682590484619,card_delivery_estimate,0.8430791540502749,0.11718910499818702
I ordered my card 2 weeks ago and it still isn't here? What do I do?,card_arrival,card_arrival,0.9747740030288696,card_delivery_estimate,0.9331750716731704,0.041598931355699253
"My card has not arrived yet, where is it?",card_arrival,card_arrival,0.976838231,card_delivery_estimate,0.928703381,0.04813485
What is the tracking number for my card that was mailed?,card_arrival,card_arrival,0.9804025888442993,card_delivery_estimate,0.9330184421349166,0.047384146709382735
I think something went wrong with my card delivery as I haven't received it yet.,card_arrival,card_arrival,0.9763098955154419,card_delivery_estimate,0.9080375144506522,0.068272381
"I'm still waiting for delivery of my new card, why is it taking so long?",card_arrival,card_arrival,0.9802097082138062,card_delivery_estimate,0.9129673557237956,0.067242352
"I ordered a card a week ago, and it's still not here. What do I do?",card_arrival,card_arrival,0.9645094871520996,card_delivery_estimate,0.9335709641168206,0.030938523035278997
i want to track the card you sent,card_arrival,card_arrival,0.9824144244194031,card_delivery_estimate,0.9316531678260725,0.050761257
My card hasn't arrived yet.,card_arrival,card_arrival,0.981093705,card_delivery_estimate,0.9260440768696292,0.055049627830840775
I was expecting my new card and am wondering why I haven't received it yet?,card_arrival,card_arrival,0.9808771014213562,card_delivery_estimate,0.9339405074334406,0.046936594
How do I know when my card will arrive?,card_arrival,card_delivery_estimate,0.965850294,card_delivery_estimate,0.9713972052738407,-0.005546912
I'm still waiting on my card to be delivered.,card_arrival,card_arrival,0.9796211123466492,card_delivery_estimate,0.9456364201143675,0.033984692
Does the card you sent have a way to track to it?,card_arrival,card_arrival,0.9816073179244995,card_delivery_estimate,0.931890183,0.049717135
I ordered a card and I still haven't received it. It's been two weeks. What can I do?,card_arrival,card_arrival,0.9610830545425415,card_delivery_estimate,0.8422380909290628,0.11884496361347874
"I'm starting to think my card is lost because it still hasn't arrived, can you help?",card_arrival,card_arrival,0.7686097025871277,lost_or_stolen_card,0.47114383646262625,0.29746586612450143
Is there tracking info available?,card_arrival,card_arrival,0.6687700152397156,card_delivery_estimate,0.8736515487530314,-0.204881534
What is the tracking number for the card you sent?,card_arrival,card_arrival,0.979205847,card_delivery_estimate,0.9366348702594061,0.042570977
Where is the tracking number for the card you sent me?,card_arrival,card_arrival,0.9788373708724976,card_delivery_estimate,0.9357061904025504,0.04313118
Why won't my card show up on the app?,card_linking,card_linking,0.9755173325538635,card_linking,0.7065880958536944,0.2689292367001691
I would like to reactivate my card.,card_linking,card_linking,0.9825645089149475,card_linking,0.660646878,0.3219176313788845
