sentence,sentiment_label,sentiment_score
I am still waiting on my card?,2 stars,0.30530574917793274
What can I do if my card still hasn't arrived after 2 weeks?,1 star,0.436938613653183
I have been waiting over a week. Is the card still coming?,1 star,0.32151079177856445
Can I track my card while it is in the process of delivery?,3 stars,0.35129275918006897
"How do I know if I will get my card, or if it is lost?",1 star,0.2600366473197937
When did you send me my new card?,1 star,0.36987942457199097
Do you have info about the card on delivery?,3 stars,0.32033929228782654
What do I do if I still have not received my new card?,1 star,0.41411343216896057
Does the package with my card have tracking?,3 stars,0.33443450927734375
I ordered my card but it still isn't here,1 star,0.5157199501991272
Why has my new card still not come?,1 star,0.516631543636322
"I still haven't received my card after two weeks, is it lost?",1 star,0.4777473509311676
Can you track my card for me?,5 stars,0.2357431799173355
Is there a way to track the delivery of my card?,3 stars,0.32133474946022034
It's been a week since I ordered my card and it's not here. Please help?,1 star,0.5587580800056458
Will I be able to track the card that was sent to me?,3 stars,0.2930630147457123
I don't have my card in 1 week.  Should I be worried?,1 star,0.44169241189956665
How do I know when my new card is going to arrive?,5 stars,0.25318118929862976
My new card has not been delivered to my home yet. What is going on?,1 star,0.31606659293174744
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,1 star,0.40614083409309387
"On the card that is coming, what's the tracking info?",1 star,0.28441911935806274
What is the status of my card's delivery?,3 stars,0.28165769577026367
Have you sent out my card yet?,1 star,0.38590937852859497
My card isn't here yet.,3 stars,0.2549661695957184
where is my new card?,5 stars,0.23796620965003967
It's been a week since you sent my card and I still don't have it.,1 star,0.4371301531791687
How do I track the card you sent me?,5 stars,0.3385443389415741
When will I recieve my new card?,1 star,0.23179130256175995
When will I get my new card?,3 stars,0.2272203415632248
What is the expected delivery date for my card?,3 stars,0.32883790135383606
Is there a tracking number for the card you sent me?,1 star,0.36445295810699463
I would like to track the card you sent to me.,3 stars,0.3951364755630493
Has my card been lost in delivery?,1 star,0.33845263719558716
My new card hasn't came in.,1 star,0.38977670669555664
Where is the card I ordered 2 weeks ago?,1 star,0.5034055113792419
Can I get an update on my replacement card?,3 stars,0.26378729939460754
How long does it take for a new card to ship?,3 stars,0.2804814279079437
What's the tracking on the card you sent?,1 star,0.3008750081062317
I haven't received my card and am worried it is lost.,1 star,0.4386216402053833
My card still hasn't been delivered,1 star,0.3718271851539612
I need to find out where the card is that I ordered.,3 stars,0.3546924889087677
Where is my credit card that was to be mailed?,1 star,0.4944636821746826
I ordered my card but it hasn't been delivered yet,2 stars,0.307354211807251
Am I able to track the card that was just sent to me?,3 stars,0.2683291435241699
Can you tell me why I haven't received my new card?,1 star,0.4584837853908539
I'm still waiting for my new card.,4 stars,0.2921825051307678
Is my card lost? I am still waiting for it to be delivered.,2 stars,0.34521305561065674
Should I keep waiting for my card to be delivered?,3 stars,0.3141775131225586
Can I track when my card will be delivered?,3 stars,0.2840559184551239
How can I check on the status of my new card?,5 stars,0.33801716566085815
"A card has been sent to me, how do I track it?",1 star,0.23239971697330475
Is there a way I can get my card expedited?,1 star,0.3570247292518616
What can I do to track the card you sent me?,5 stars,0.41539302468299866
why hasnt my card come in yet?,1 star,0.2783229947090149
How can I periodically check the delivery of the card you sent?,1 star,0.2643059492111206
What's the reason my new card hasn't come?,1 star,0.47145986557006836
How long does it take for me to get my new card?,5 stars,0.2961065173149109
I don't have my card after 1 week. What are my next steps?,1 star,0.5155889987945557
I know I'm getting a new card but would like know when I can expect to receive it.,3 stars,0.4973810017108917
I want to find out what happened to my new card?,3 stars,0.27306148409843445
Was there a way for me to get tracking for that?,2 stars,0.3118782043457031
I am still waiting for my card.,3 stars,0.307122141122818
My card hasn't arrived.,1 star,0.6144830584526062
Can I track the card you sent to me?,1 star,0.2796151041984558
I haven't gotten my new card.,1 star,0.3534495234489441
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,1 star,0.3794679045677185
Will I have to wait much longer for my new card to arrive?,2 stars,0.3120052218437195
how to track the card you sent,5 stars,0.4818550646305084
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,1 star,0.6512791514396667
How can I check on the delivery status of my card?,5 stars,0.2344968020915985
"My card has not been delivered yet and its been a week since I ordered it, please help",1 star,0.4951116144657135
What's the expected wait time to recieve my new card?,3 stars,0.30132997035980225
How can I see the progress of delivery of the card that was sent?,3 stars,0.25028035044670105
"My card was supposed to arrive, but hasn't?",1 star,0.3234105408191681
I ordered a card and would like to know how to track the delivery progress of it.,4 stars,0.43719717860221863
How long will it take for me to get my card?,3 stars,0.2642213702201843
My card hasn't shown up yet.,3 stars,0.28986018896102905
Does the card you sent have a tracking number?,3 stars,0.2992326617240906
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,5 stars,0.34113436937332153
maximum how many days get the courier?,1 star,0.29986706376075745
