Algorithm,Error Reason,Utterance,Assigned label,predicted_label,predicted_confidence,cluster_confidence,assigned_topic,predicted_topic,Topic
Louvain,Mislabeled,Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate,0.944849491,0.967297161,new_card,new_card,Within
Louvain,Mislabeled,When will I get my card?,card_arrival,card_delivery_estimate,0.967208624,0.976990845,new_card,new_card,Within
Louvain,Mislabeled,How long does a card delivery take?,card_arrival,card_delivery_estimate,0.967351377,0.946507739,new_card,new_card,Within
Louvain,Vague,Status of the card I ordered.,card_arrival,lost_or_stolen_card,0.374374211,0.337575127,new_card,new_card,Within
Louvain,Mislabeled,How do I know when my card will arrive?,card_arrival,card_delivery_estimate,0.965850294,0.971397205,new_card,new_card,Within
Louvain,Mislabeled,Is it a good time to exchange?,exchange_rate,exchange_via_app,0.88830179,0.626267416,exchange_rate_currency,exchange_rate_currency,Within
Louvain,Model Error,Why am I being charged more ?,card_payment_wrong_exchange_rate,card_payment_fee_charged,0.903134227,0.586790361,exchange_rate_currency,card_payment,Without
Louvain,Mislabeled,How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,exchange_rate,0.357621491,0.435072584,exchange_rate_currency,exchange_rate_currency,Within
Louvain,Mislabeled,Where did this fee come from?,extra_charge_on_statement,card_payment_fee_charged,0.9649719,0.616606207,transactions,card_payment,Without
Louvain,Model Error,"I am a new customer, and I happened to look at my app and there is a charge I am not familiar with.  Could you tell me why the extra charge is there?",extra_charge_on_statement,transfer_fee_charged,0.395941079,0.290127682,transactions,transfers,Without
Louvain,Mislabeled,My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal,0.960456431,0.335260628,atm_cash_withdrawal,atm_cash_withdrawal,Within
Louvain,Model Error,"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_card_payment,0.929246068,0.496117113,exchange_rate_currency,card_payment,Without
Louvain,Mislabeled,How do I change currencies to euros?,fiat_currency_support,exchange_via_app,0.941125154,0.496509242,exchange_rate_currency,exchange_rate_currency,Within
