Error Reason,Utterance,Assigned label,Predicted label,Predicted confidence,Cluster confidence,Cluster,Cluster name,Assigned topic name,Predicted topic name,Cluster topic name
Mislabel,Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate,0.9448492527,0.4919540717,14,card_delivery_estimate,new_card,new_card,new_card
Mislabel,When will I get my card?,card_arrival,card_delivery_estimate,0.9672086239,0.6666847834,14,card_delivery_estimate,new_card,new_card,new_card
Mislabel,How long does a card delivery take?,card_arrival,card_delivery_estimate,0.9673514962,0.6205900753,14,card_delivery_estimate,new_card,new_card,new_card
Model Error,Status of the card I ordered.,card_arrival,lost_or_stolen_card,0.3743737936,0.3802061113,57,order_physical_card,new_card,new_card,new_card
Mislabel,How do I know when my card will arrive?,card_arrival,card_delivery_estimate,0.9658502936,0.8406476516,14,card_delivery_estimate,new_card,new_card,new_card
Model Error,Is it a good time to exchange?,exchange_rate,exchange_via_app,0.8883020282,0.5677135126,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,exchange_rate,0.3576194942,0.3683931099,30,exchange_rate,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal,0.9604564905,1,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,How do I change currencies to euros?,fiat_currency_support,exchange_via_app,0.9411250353,0.3418115046,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,Am I able to exchange currencies?,fiat_currency_support,exchange_via_app,0.9756020904,0.9631710283,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,Can I exchange currencies?,fiat_currency_support,exchange_via_app,0.9607639909,0.2804083764,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support,0.9172210097,1,21,country_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
