Algorithm,Error Reason,Utterance,Assigned label,predicted_label,predicted_confidence,cluster_confidence,assigned_topic,predicted_topic,Topic
HDBSCAN,Model Error,I was contacted by a seller with a message that they never received my money. I am 100% sure it was taken from my account so I definitely need this sorted out soon.,reverted_card_payment?,Refund_not_showing_up,0.384071589,1,card_payment,transactions,Without
HDBSCAN,Model Error,The balance on my account wasn't updated after I made a depost.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,0.769602656,1,transactions,transfers,Without
HDBSCAN,Model Error,My non-physical card will not work,virtual_card_not_working,card_not_working,0.965674222,1,virtual_disposable_cards,card_malfunction,Without
HDBSCAN,Mislabel,"Why did I get charged for something I bought online? Even though it was international, I thought it would be covered.",transfer_fee_charged,card_payment_fee_charged,0.398525178,1,transfers,card_payment,Without
HDBSCAN,Mislabel,What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,compromised_card,0.944862485,1,card_payment,new_card,Without
HDBSCAN,Mislabel,Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,declined_transfer,declined_card_payment,0.453353286,1,transfers,card_malfunction,Without
HDBSCAN,Model Error,My funding to my card didn't go through.,top_up_failed,declined_card_payment,0.930184841,1,top_up,card_malfunction,Without
HDBSCAN,Mislabel,My card is being declined for a purchase. I bought items before and the card worked. Do you know what the problem is?,reverted_card_payment?,declined_card_payment,0.935383677,1,card_payment,card_malfunction,Without
HDBSCAN,Mislabel,When I try and to buy something using my card it keeps getting declined.,declined_transfer,declined_card_payment,0.964001179,1,transfers,card_malfunction,Without
HDBSCAN,Model Error,Why does my account not accept cash deposits?,balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal,0.364250958,1,transactions,atm_cash_withdrawal,Without
HDBSCAN,Vague,What extra charges are there?,transfer_fee_charged,extra_charge_on_statement,0.499397814,1,transfers,transactions,Without
HDBSCAN,Vague,Can I get a copy of the card by email?,getting_virtual_card,order_physical_card,0.616886973,1,virtual_disposable_cards,new_card,Without
HDBSCAN,Mislabel,"I would like to know why my payment is still pending, can you help?",pending_transfer,pending_card_payment,0.978091002,1,transfers,card_payment,Without
HDBSCAN,Model Error,How do I unblock my card using the app?,card_not_working,pin_blocked,0.972311199,1,card_malfunction,account_management,Without
HDBSCAN,Model Error,What options do I have in regards to payment?,supported_cards_and_currencies,receiving_money,0.250589371,1,exchange_rate_currency,transactions,Without
HDBSCAN,Vague,Double check your funds may be declined,declined_transfer,top_up_by_cash_or_cheque,0.651674271,1,transfers,top_up,Without
HDBSCAN,Model Error,"Hi, i don't know what's going on i've just paid for my top up twice by accident can you help me get a refund please.",top_up_reverted,transaction_charged_twice,0.884984672,1,top_up,transactions,Without
HDBSCAN,Mislabel,What type of deposits do you accept into my account?,top_up_by_cash_or_cheque,transfer_into_account,0.488421947,1,top_up,transfers,Without
HDBSCAN,Model Error,How do I make sure I don't run out of money on my card while traveling?,automatic_top_up,wrong_exchange_rate_for_cash_withdrawal,0.482908875,0.994316406,top_up,exchange_rate_currency,Without
HDBSCAN,Mislabel,"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",declined_transfer,card_not_working,0.319923103,0.983487497,transfers,card_malfunction,Without
HDBSCAN,Mislabel,What major card payments are accepted?,visa_or_mastercard,supported_cards_and_currencies,0.88488239,0.983294999,card_info,exchange_rate_currency,Without
HDBSCAN,Mislabel,My card is just not working at this time.,virtual_card_not_working,card_not_working,0.96674937,0.976473444,virtual_disposable_cards,card_malfunction,Without
HDBSCAN,Mislabel,The card got declined twice when I tried to use it to buy something online yesterday.,declined_transfer,declined_card_payment,0.470067114,0.971977244,transfers,card_malfunction,Without
HDBSCAN,Mislabel,Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised,compromised_card,0.931159794,0.964306281,card_payment,new_card,Without
HDBSCAN,Model Error,My credit card was declined.,declined_card_payment,top_up_failed,0.748468399,0.961017548,card_malfunction,top_up,Without
HDBSCAN,Model Error,Can i get a throw away card,get_disposable_virtual_card,order_physical_card,0.650004149,0.956631959,virtual_disposable_cards,new_card,Without
HDBSCAN,Model Error,I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,declined_cash_withdrawal,0.715880156,0.866431324,top_up,atm_cash_withdrawal,Without
HDBSCAN,Mislabel,How do I top up my card?,transfer_into_account,topping_up_by_card,0.947411537,0.85660748,transfers,top_up,Without
HDBSCAN,Mislabel,I'm not sure why my account has been refunded a payment for an item I've already received about 2 weeks ago. Can you please tell me what is going on?,reverted_card_payment?,Refund_not_showing_up,0.718704343,0.84940855,card_payment,transactions,Without
HDBSCAN,Model Error,I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted,beneficiary_not_allowed,0.291237831,0.84032382,top_up,transfers,Without
HDBSCAN,Vague,someone stole my money,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,0.883776724,0.82225289,card_payment,atm_cash_withdrawal,Without
HDBSCAN,Mislabel,Where can I view my PIN?,pin_blocked,get_physical_card,0.973822832,0.814276148,account_management,new_card,Without
HDBSCAN,Both Incorrect,"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_card_payment,0.929246068,0.78167305,exchange_rate_currency,card_payment,Without
HDBSCAN,Model Error,"When I got cash, I'm pretty sure there was a glitch that overcharged me.",cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal,0.942634165,0.777880507,atm_cash_withdrawal,exchange_rate_currency,Without
HDBSCAN,Model Error,Why are there so many fees on my statement?,extra_charge_on_statement,card_payment_fee_charged,0.469085008,0.76311284,transactions,card_payment,Without
HDBSCAN,Vague,Someone has taken my money and I don't know who,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,0.924548388,0.759945517,card_payment,atm_cash_withdrawal,Without
HDBSCAN,Model Error,How would I use my money in a different country?,exchange_via_app,receiving_money,0.560737491,0.756454446,exchange_rate_currency,transactions,Without
HDBSCAN,Mislabel,"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,transaction_charged_twice,0.974154353,0.7292133,card_payment,transactions,Without
HDBSCAN,Mislabel,Someone stole my cards!,lost_or_stolen_phone,lost_or_stolen_card,0.805357575,0.712495772,account_management,new_card,Without
HDBSCAN,Mislabel,Where's the money that got charged to my card? It's not showing up in my account balance,topping_up_by_card,transfer_not_received_by_recipient,0.780982733,0.697694211,top_up,transfers,Without
HDBSCAN,Mislabel,Will there be additional costs of I make a withdrawal from a local ATM of British pounds? I need some cash to feel comfortable on the journey home,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,0.808808625,0.685162417,exchange_rate_currency,atm_cash_withdrawal,Without
HDBSCAN,Mislabel,My card is being declined online. Could you tell me what might be broken or wrong with the account?,declined_transfer,declined_card_payment,0.828704834,0.682979823,transfers,card_malfunction,Without
