analysis_result,text,category,predicted_label,predicted_confidence,primary_label,cluster_confidence,confidence_difference,assigned_topic,cluster_topic,Topic
Vague,Status of the card I ordered.,card_arrival,lost_or_stolen_card,0.374374211,order_physical_card,0.337575127,0.036799084,new_card,new_card,Within
Both Incorrect,How would I use my money in a different country?,exchange_via_app,receiving_money,0.560737491,receiving_money,0.32324467,0.237492821,exchange_rate_currency,transactions,Without
Vague,I want to go back on what I did this morning,cancel_transfer,edit_personal_details,0.27455461,edit_personal_details,0.628232923,-0.353678312,transfers,account_management,Without
Both Incorrect,How do I top up my card using your app? I'm new to this.,topping_up_by_card,apple_pay_or_google_pay,0.372666568,apple_pay_or_google_pay,0.3104073,0.062259268,top_up,card_info,Without
Vague,how can i top up?,topping_up_by_card,top_up_limits,0.917690814,top_up_limits,0.617766512,0.299924301,top_up,top_up,Within
Vague,How long until my transfer goes through?,transfer_timing,pending_transfer,0.52926743,transfer_not_received_by_recipient,0.353001207,0.176266223,transfers,transfers,Within
Vague,How long does it take for a transfer?,transfer_timing,pending_transfer,0.649270058,transfer_not_received_by_recipient,0.408171574,0.241098484,transfers,transfers,Within
Both Incorrect,How does a transfer work?,transfer_into_account,declined_transfer,0.308995575,top_up_by_bank_transfer_charge,0.464133529,-0.155137954,transfers,top_up,Without
Model Error,Why am I being charged more ?,card_payment_wrong_exchange_rate,card_payment_fee_charged,0.903134227,card_payment_fee_charged,0.586790361,0.316343865,exchange_rate_currency,card_payment,Without
Model Error,"I am a new customer, and I happened to look at my app and there is a charge I am not familiar with.  Could you tell me why the extra charge is there?",extra_charge_on_statement,transfer_fee_charged,0.395941079,transfer_fee_charged,0.290127682,0.105813397,transactions,transfers,Without
Model Error,"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_card_payment,0.929246068,pending_card_payment,0.496117113,0.433128955,exchange_rate_currency,card_payment,Without
